Heading,Merged Text
Apple warns some Indian users their iPhone may be bugged by Pegasus-type spyware,"Apple has sent a fresh round of threat notifications to some of its users in India, along with 91 other countries, warning them that their iPhone could have been potentially attacked by “mercenary spyware,” including the Israeli NSO Group’s controversial Pegasus malware.
Applehas not attributed the recent wave of attacks to any stakeholder. Last October, it had sent a similar notification to Opposition leaders across parties — from Congress’sShashi Tharoorto AAP’s Raghav Chadha to TMC’sMahua Moitra— warning of a “potential state-sponsored spyware attack” on their iPhones.
The company, after pressure from the government, had later clarified that it “does not attribute the threat notifications to any specific state-sponsored attacker”.
The threat notification emails were sent at around 12.30 am IST on Thursday (April 11) to impacted users in India. It is unclear how many people have received the threat notification from Apple. The email also mentions the NSO-Group’sPegasusspyware, saying tools like those are being used to target people on an ongoing basis globally.
“ALERT: Apple detected a targeted mercenary spyware attack against your iPhone,” reads the subject line of the threat notification, a copy of which has been seen byThe Indian Express.
“Apple detected that you are being targeted by a mercenary spyware attack that is trying to remotely compromise the iPhone associated with your Apple ID -xxx-. This attack is likely targeting you specifically because of who you are or what you do. Although it’s never possible to achieve absolute certainty when detecting such attacks, Apple has high confidence in this warning — please take it seriously,” the notification email added.
“Mercenary spyware attacks, such as those using Pegasus from the NSO Group, are exceptionally rare and vastly more sophisticated than regular cybercriminal activity or consumer malware. These attacks cost millions of dollars and are individually deployed against a very small number of people, but the targeting is ongoing and global,” Apple said in its threat notification.
The company advised users to be cautious with all links they receive, and not to open any links or attachments from unexpected or unknown senders.
The company, however, said it was unable to provide more information about what caused it to send the threat notification, as that could help mercenary spyware attackers “adapt their behaviour to evade detection in the future”.
Apple has also updated its support page to include tips for users who had been possible targets of the mercenary spyware attack. “Apple threat notifications are designed to inform and assist users who may have been individually targeted by mercenary spyware attacks, likely because of who they are or what they do,” the iPhone maker said.
Apple started sending these threat notifications in 2021, and since then individuals in 150 countries have received them. When it had sent the notification last year, at least 20 Indians with iPhones had received them.
Investigations into similar issues in the past haven’t yielded much. In 2021, the Supreme Court had formed a committee of technical experts to look into allegations of unauthorised surveillance using the Pegasus software developed by Israeli firm NSO Group.
The Pegasus controversy had broken following media reports of alleged illegal use of the software to tap the phones of some activists, journalists and politicians. Subsequently, several petitions were filed in the Supreme Court seeking an inquiry into the charges.
In August 2022, the committee of technical experts found no conclusive evidence on use of the spyware in phones examined by it but noted that the Central Government “had not cooperated” with the panel.

Soumyarendra Barik is Special Correspondent with The Indian Express and reports on the intersection of technology, policy and society. With over five years of newsroom experience, he has reported on issues of gig workers’ rights, privacy, India’s prevalent digital divide and a range of other policy interventions that impact big tech companies. He once also tailed a food delivery worker for over 12 hours to quantify the amount of money they make, and the pain they go through while doing so. In his free time, he likes to nerd about watches, Formula 1 and football.... Read More
Bade Miyan Chote Miyan is a snoozefest filled with non-stop action and empty 'shor' and 'sharaaba'. The film features Akshay and Tiger as Bade and Chote, who try to save India from Pakistani and Chinese missiles using a 'Karan Kavach'. Despite the star-studded cast and cartoonish qualities, the film fails to deliver and is filled with cringe-worthy dialogues.


"
Apple acknowledges widespread 'ghost touch' issue affecting multiple Apple Watch models,"The TOI Tech Desk is a dedicated team of journalists committed to delivering the latest and most relevant news from the world of technology to readers of The Times of India. TOI Tech Desk’s news coverage spans a wide spectrum across gadget launches, gadget reviews, trends, in-depth analysis, exclusive reports and breaking stories that impact technology and the digital universe. Be it how-tos or the latest happenings in AI, cybersecurity, personal gadgets, platforms like WhatsApp, Instagram, Facebook and more; TOI Tech Desk brings the news with accuracy and authenticity.Read More"
Apple plans Mac line overhaul with AI-focused M4 chips,"Follow Us
Apple is nearing the production of M4 computer processors which would have AI processing capabilities and plans to update every Mac model with it,Bloomberg Newsreported on Thursday, citing people with knowledge of the matter.
The company is aiming to release the updated computers late this year and early next year, and they would include new iMacs, a low-end 14-inch MacBook Pro, high-end 14-inch and 16-inch MacBook Pros, and Mac minis, the report said.
PC makers have been in a slump since the end of a pandemic-era boom in sales for working and learning from home. The industry has pinned its hopes of a revival on a new generation of laptops and desktops with more powerful chips that can handle artificial intelligence tasks such as summarizing documents without having to send data to the cloud.
Intel is preparing such chips, as are rivals including Qualcomm.
Reutershas reported that Nvidia also plans to use its strength in AI chips to jump into the PC market with a new chip as early as 2025.
Apple is planning to highlight the AI processing capabilities of the new chips, and how they'll integrate with the next version of macOS, according to theBloomberg report.
Apple did not immediately respond to a Reuters request for comment.
The news comes ahead of Apple's annual developers conference in June, and reports said the iPhone maker could announce new AI partnership and unveil significant changes to the iOS. Mac sales fell 27 per cent in Apple's most recent fiscal year ended September.
Apple in October unveiled the current-generation M3 chips and new MacBook Pro and iMac computers that were getting them.
#Elections2024"
"Apple readies M4-powered Macs, expected to bring AI capabilities to every model","The TOI Tech Desk is a dedicated team of journalists committed to delivering the latest and most relevant news from the world of technology to readers of The Times of India. TOI Tech Desk’s news coverage spans a wide spectrum across gadget launches, gadget reviews, trends, in-depth analysis, exclusive reports and breaking stories that impact technology and the digital universe. Be it how-tos or the latest happenings in AI, cybersecurity, personal gadgets, platforms like WhatsApp, Instagram, Facebook and more; TOI Tech Desk brings the news with accuracy and authenticity.Read More"
"Apple issues warning to users in India, 91 other countries about possible ‘mercenary spyware’ attack","Apple has warned its users in India and 91 other countries that they may have been the victims of a ""mercenary spyware"" attack, according to multiple media reports. Apple has warned users that they are being attacked by mercenary spyware that is trying to gain remote access to their iPhones.
Also Read |AIMRA accuses Apple India of favouring large retailers. iPhone 15 Pro cashback offers sparks retailer outrage
Mercenary spyware attacks like NSO Group's Peagusus are ‘exceptionally rare’ and ‘vastly more sophisticated’ than a regular cybercriminal activity or consumer malware,Applestated in the threat notification. The Cuperino-based company also explained that these attacks cost millions of dollars and are individually deployed against a very small number of people.
“Apple detected that you are being targeted by a mercenary spyware attack that is trying to remotely compromise the iPhone associated with your Apple ID -xxx-. This attack is likely targeting you specifically because of who you are or what you do. Although it’s never possible to achieve absolute certainty when detecting such attacks, Apple has high confidence in this warning — please take it seriously,"" the threat notification by Apple was quoted as saying by The Indian Express.
Apple also advised users not to open links or attachments from unknown senders and to be cautious about any links they receive. However, the company declined to provide further information about the spyware, saying that this could help attackers adapt their behaviour and avoid detection in the future.
Apple's updated support page after ‘Mercenary Spyware' warning:Notably, Apple also updated its support page on Wednesday, adding tips for users who have been victims of a possible mercenary spyware attack.Also Read |Pegatron in talks to sell iPhone plant in Tamil Nadu to Tata Group, deal gets Apple backing: Report“Such attacks are vastly more complex than regular cybercriminal activity and consumer malware, as mercenary spyware attackers apply exceptional resources to target a very small number of specific individuals and their devices. Mercenary spyware attacks cost millions of dollars and often have a short shelf life, making them much harder to detect and prevent. The vast majority of users will never be targeted by such attacks,"" the updated Apple support page reads.You may be interested inMilestone Alert!Livemint tops charts as the fastest growing news website in the world🌏Click hereto know more.Unlock a world of Benefits! From insightful newsletters to real-time stock tracking, breaking news and a personalized newsfeed – it's all here, just a click away!Login Now!Catch all theTechnology Newsand Updates on Live Mint.
        Download TheMint News Appto get DailyMarket Updates& LiveBusiness News.MoreLessPublished: 11 Apr 2024, 10:05 AM ISTTopics You May Be Interested Inapplemercenary spywareapple spywareapple newsapple indiaApple threat notificationApple threat notification malwareapple threat notifications 2024apple update 2024apple cyberattackapple latest newsapple mercenary spyware attackapple spyware attack
Notably, Apple also updated its support page on Wednesday, adding tips for users who have been victims of a possible mercenary spyware attack.
Also Read |Pegatron in talks to sell iPhone plant in Tamil Nadu to Tata Group, deal gets Apple backing: Report
“Such attacks are vastly more complex than regular cybercriminal activity and consumer malware, as mercenary spyware attackers apply exceptional resources to target a very small number of specific individuals and their devices. Mercenary spyware attacks cost millions of dollars and often have a short shelf life, making them much harder to detect and prevent. The vast majority of users will never be targeted by such attacks,"" the updated Apple support page reads.

Milestone Alert!Livemint tops charts as the fastest growing news website in the world🌏Click hereto know more.
Unlock a world of Benefits! From insightful newsletters to real-time stock tracking, breaking news and a personalized newsfeed – it's all here, just a click away!Login Now!
Download the Mint app and read premium stories
Log in to our website to save your bookmarks. It'll just take a moment.
You are just one step away from creating your watchlist!
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp"
Chain reaction: Apple jobs in India set for 3x jump in 3 years,"5 Stories
7 Stories
9 Stories
9 Stories
8 Stories
6 Stories

Is this the opportunity small real estate investors have been waiting for?
Five reasons why metal stocks are hot this April
Dimon says US stock exchanges have too few companies. India has a different problem
Meesho is taking a road less travelled to keep up in its fight with Amazon, Flipkart
Where did it all go wrong for Ola Cabs' international business?
How this Indian state is showing the way to treat cancer patients
Trending Now
Hot on Web
In Case you missed it
Top Calculators
Top Searched Companies
Top Slideshow
Private Companies
Top Videos
Top Definitions
Top Commodities
Top Prime Articles
Top Story Listing
Follow us on:
Find this comment offensive?
Choose your reason below and click on the Report button. This will alert our moderators to take action
Reason for reporting:
Your Reason has been Reported to the admin.
Log In/Connect with:
Will be displayed
Will not be displayed
Will be displayed
Worry not. You’re just a step away.
It seems like you're already an ETPrime member with
Login using your ET Prime credentials to enjoy all member benefits
Log out of your current logged-in accountand log in again using your ET Prime credentials  to enjoy all member benefits.

To read full story, subscribe to ET Prime
₹34 per week
Billed annually at₹2499₹1749
Super Saver Sale - Flat 30% Off
On ET Prime Membership
Offer Exclusively For You
Save up to Rs. 700/-
ON ET PRIME MEMBERSHIP
Offer Exclusively For You
Get 1 Year Free
With 1 and 2-Year ET prime membership
Offer Exclusively For You
Get 1 Year Free
With 1 and 2-Year ET prime membership
Offer Exclusively For You
Get Flat 40% Off
Then  ₹ 1749 for 1 year
Offer Exclusively For You
ET Prime at ₹ 49 for 1 month
Then  ₹ 1749 for 1 year
Stay Ahead in the New Financial Year
Get flat 20% off on ETPrime




90 Days Prime access worth Rs999 unlocked for you
Exclusive Economic Times Stories, Editorials & Expert opinionacross 20+ sectors
Stock analysis. Market Research. Industry Trendson 4000+ Stocks
​Get1 Year Complimentary Subscription of TOI+worth Rs.799/-​
Stories you might be interested in"
Apple Sends New Spyware Alert To iPhone Users In India And More Countries: Here’s What It Says,"Reported By:S Aadeetya
News18.com
Last Updated:April 11, 2024, 18:21 IST
Delhi, India
iPhone users in India and other 91 countries have got a new spyware alert this week.
Apple iPhone users in India and over 91 countries have got a new spyware attack notification from the company on April 11 at 12:30 AM IST which could be as dangerous as the NSO Group’s Pegasus. The company has sent out this alert previously as well, and does so when it detects major intrusion in iPhone and other devices.
The company says, “today’s notification is being sent to targeted users in 92 countries, and to date we have notified users in over 150 countries in total,” which includes iPhone users from India as well. “Apple sends an email and iMessage notification to the email addresses and phone numbers associated with the user’s Apple ID,” the company explains in its supportpagehere. It was not immediately clear who and how many users received the notification in India.
“Apple detected that you are being targeted by a mercenary spyware attack that is trying to remotely compromise the iPhone associated with your Apple ID . This attack is likely targeting you specifically because of who you are or what you do,” the notification email reads that affected iPhone users have received.
Apple has refused to share the details from where these attacks originate, and even in this case, the mail alert reaching the iPhone users clearly states the following, “The extreme cost, sophistication, and worldwide nature makes mercenary spyware attacks some of the most advanced digital threats in existence today. As a result, Apple does not attribute the attacks or the notice you’re receiving to any specific attackers or geographical regions.”
The spyware warning also mentions that Pegasus-like spyware used to attack iPhones are rare and they are specifically targeted at an individual with clear reasons to infiltrate their device. “Mercenary spyware attacks, such as those using Pegasus from the NSO Group, are exceptionally rare and vastly more sophisticated than regular cybercriminal activity or consumer malware.”
The emailer quickly cites some important tips to the affected iPhone users in the country, asking them to enable lockdown mode on their iPhones right away, update to the latest iOS 17.4.1 version, update all the other Apple devices they use, and avoid entertaining messages and links from strangers to avoid further damage or data loss.
According to government sources, the recent alert was prompted after a government body CERT-In wrote to Apple on April 10.
CERT-In asked Apple on April 10 to clarify whether any new vulnerabilities have been reported to or found by Apple including their related patches developed to mitigate the vulnerabilities.
On the same day, CERT-In also requested Apple to inform such new vulnerabilities and patch information to Apple users to enable the prevention of any malicious activity
CERT-In has been very active in detecting cyber attacks on Indian users and systems while being in constant touch with Apple on reported vulnerabilities in its products."
"Apple to move half of its supply chain from China to India, employ 5 lakh people in 3 years","Apple and its ecosystem has directly created 1,50,000 jobs in India and an additional 3,00,000 jobs when we consider indirect jobs. As Apple plans to move half of its supply chain to India from China, Apple plans to create 5,00,000 direct jobs
As it continues to distance itself from China and invest in India, Apple plans to relocate at least half of its existing supply chain from China to India over the next three years. In the process, Apple, will also significantly increase the jobs that it offers in India.
As per a report by the Economic Times, Apple aims to employ at least 5,00,000 people directly in India’s ecosystem of component makers and suppliers, marking a substantial increase from the current level.
Currently, Apple is responsible for just about 1,50,000 blue-collar jobs in India, the highest by a single company.
The move away from China is part of Apple’s ongoing strategy to reduce its reliance on China and increase local value addition from its Indian suppliers. The strategy is famously called the China Plus One policy.
Among all countries, it is in China that Apple has the highest domestic value addition in the world, which is 28 per cent. The value-add in India currently is about 11-12 per cent which is expected to go up to 15-18 per cent.
Experts predict that India’s growing importance as a market for both exports and local sales of Apple products will catalyse a vibrant supplier ecosystem and potentially position the country as a hub for research and development for Apple, especially in software-to-silicon design.
Neil Shah, vice president at Counterpoint Research, noted that India’s current local value addition to iPhone manufacturing stands at 14%, compared to 41 per cent in China. However, with the right investments and expansion, Apple could increase this figure to over 20 per cent, as per the ET report.
Apple’s suppliers in India, include Tata Electronics, Salcomp Technologies, Foxlink, and Sunwoda. All of these companies have emerged as top job creators, with estimates suggesting that at least 1,50,000 direct jobs and an additional 3,00,000 indirect jobs were created since the production-linked incentive or PLI was introduced in August 2021.
Contract manufacturers such as Foxconn, Wistron, and Pegatron, which produce iPhones in India, have also significantly contributed to job creation in the country.
Last year, these manufacturers collectively created over 77,000 direct jobs, and have plans to hire more than 10,000 additional employees during peak production periods.
Apple’s increased focus on manufacturing in India is evident in its production numbers, with iPhones worth over â¹1 lakh crore produced in India in the previous year, a substantial increase from previous years. Tim Cook, CEO of Apple, highlighted the company’s strong performance in emerging markets, including India, during the recent earnings call, emphasizing robust double-digit growth and record-breaking sales figures in several countries.
is on YouTube
Copyright @ 2024. Firstpost - All Rights Reserved"
"Apple warns iPhone users in 92 countries, including India, of 'mercenary spyware' attacks","My Account
Follow us on:
Powered ByhBits - Fractional Ownership & Investment In Commercial Real Estate
Start generating passive income with up to 10% rental yield and an expected IRR of 18%
Invest Now
Powered By
Unlock Your Trading Potential: Trade like Experts with SEBI registered creators, Learn from Courses & Webinars by India's Finest Finance Experts.
Invest Now
Apple sent a fresh batch of threat notifications to users in 92 countries, including India, on April 10, warning them that they may have been individually targeted by a ""mercenary spyware attack"" attempting to remotely compromise their iPhone.
In the notification, a copy of which has been viewed byMoneycontrol, Apple notes that mercenary spyware attacks, such as those using Pegasus from the NSO Group, are exceptionally rare and vastly more sophisticated than regular cybercriminal activity or consumer malware.
""These attacks cost millions of dollars and are individually deployed against a very small number of people, but the targeting is ongoing and global...This attack is likely targeting you specifically because of who you are or what you do."" it said.
""The extreme cost, sophistication, and worldwide nature makes mercenary spyware attacks some of the most advanced digital threats in existence today. As a result, Apple does not attribute the attacks or the notice you’re receiving to any specific attackers or geographical regions,"" the notification read.
Apple said it relies solely on ""internal threat-intelligence information and investigations to detect such attacks"".
""Although our investigations can never achieve absolute certainty, Apple threat notifications are high-confidence alerts that a user has been individually targeted by a mercenary spyware attack and should be taken very seriously"" the company said on its website.
Since 2021, the iPhone maker has notified users in over 150 countries after the company started sending threat notifications to users. Apple declined to comment on this development toMoneycontrol.
The notification also outlines various steps and recommended actions for users affected by this spyware attack. This includes enabling lockdown mode, which the company claims offers the ""strongest protection for users,"" updating their iPhone and other Apple devices to the latest software version, updating their messaging and cloud apps to the latest available versions, and enlisting expert help.
""Public reporting and research has shown that mercenary spyware attacks target users across modern computing platforms, including iOS and Safari as well as Google Android, Google Chrome, and Microsoft Windows, as well as a variety of messaging and cloud apps including iMessage and WhatsApp,"" the notification read.
""If your device is compromised by a targeted mercenary spyware attack, the attacker may be able to remotely access your sensitive data, communications, or even the camera and microphone,"" it added.
Apple has also updated the threat notification support page on its website, dropping the reference for attacks as 'state-sponsored', instead referring to them as 'mercenary spyware attacks'
""We are unable to provide information about what causes us to issue threat notifications, as that may help mercenary spyware attackers adapt their behaviour to evade detection in the future"" the company said.
This move comes after the iPhone maker was caught in a political firestorm in India in October 2023.
Severalpoliticians from opposition parties, including TMC's Mahua Moitra, Shiv Sena (UBT's) Priyanka Chaturvedi, Congress' Pawan Khera and Shashi Tharoor, AAP's Raghav Chadha, and CPIM's Sitaram Yechury, said that they had received notifications from Apple warning them that their devices were being targeted by state-sponsored attackers.
Observer Research Foundation (ORF) president Samir Saran, as well as journalists Siddharth Vardarajan and Sriram Karri, also said that they had received similar notifications from Apple.
On November 2,Moneycontrolreported that the Ministry of Electronics and Information Technology (MeitY) hadsent a notice to Appleregarding threat notifications. IT secretary S Krishnan had also said that Indian Computer Emergency Response Team (CERT-IN) is investigating the matter.
Apple was alsosending its technical and cybersecurity expertsto the country to meet with officials investigating the matter,Moneycontrolreported on November 9.

DAILY-EVENING
DAILY-EVENING
Discover the latestbusiness news,Sensex, andNiftyupdates. ObtainPersonal Financeinsights, tax queries, and expert opinions onMoneycontrolor download theMoneycontrol Appto stay updated!
Copyright © e-Eighteen.com Ltd. All rights reserved. Reproduction of news articles, photos, videos or any other content in whole or in part in any form 
        or medium without express writtern permission of moneycontrol.com is prohibited.
You are already a Moneycontrol Pro user.
Access your Detailed Credit Report - absolutely free"
An Apple Home Robot? Why It Could Be a Tough Sell,"Our expert, award-winning staff selects the products we cover and rigorously researches and tests our top picks. If you buy through our links, we may get a commission.How we test phones
Commentary: Apple may have a lot to learn from the failed robots of years past.
An artist's conception of an Apple robot. (Note this image doesn't reflect a real product and isn't associated with Apple.)
Applealready makes devices that sit in our pockets, on ourwristsand atop ourdesks. Next, it may be coming for us in an even bigger way.
Apple is looking into the idea of developing a home robot,according to Bloomberg. The tech giant reportedly has two concepts in mind: a robot that can move around the home, and a tabletop robotic device. The report cautions that the robotics initiative is in early stages and may not lead to a final product.
Apple is far from being the first company to explore home robotics. But efforts to make the sci-fi trope of a robotic home butler a reality have largely fallen short for two big reasons: Such devices are usually expensive, and they also lack unique functionality that feels substantially different from existing technologies like phones, connected cameras and smart speakers.
Apple, being one of the world's most influential technology companies, has some major advantages that startups in the robotics space have lacked. But it still faces the daunting task of proving that robots deserve a place in the home.
Apple didn't respond to CNET's request for comment.
Read more:Best iPhone in 2024
Apple's FaceTime app shown on an iPad.
Apple initially wanted to create an autonomous and rovingvideoconferencingrobot that could potentially also help with chores, according to Bloomberg. But the report described the housework functionality as a ""pie-in-the-sky"" idea rather than a feasible project, because of the engineering involved. Still, the idea sounds similar to Amazon's goals with its own Astro robot, which can serve as a mobile Alexa bot and security camera.
The second, tabletop idea is further along and less ambitious from an engineering standpoint, though Bloomberg says it's come and gone from Apple's product road map. Based on the report, it sounds like this would be a smart display that can move, similar toAmazon's Echo Show 10. Amazon's device can reposition its display and the built-in camera to keep users in frame during video calls and to view its surroundings when it's functioning as a home security camera.
Apple's idea reportedly involves having the smart display move in a way that mimics head movements, such as nodding, during FaceTime calls. It would also be able to focus on specific people during calls, Bloomberg reports, which sounds likeApple's Center Stage featurefor iPads.
Amazon's Astro is a lot more than an Echo Show on wheels.
Perhaps the biggest challenge when it comes to a home robot is that the market is unproven.
Amazon's Astro, which the company announced in September 2021, may be the most high-profile attempt to bring robots into the home. But more than two years later,it's still labeledas being part of Amazon's experimental Day 1 Editions program and requires an invite to purchase. It also costs $1,600, making it more expensive than an iPhone andiPadcombined, depending on the model.
Though Amazon has updated Astro with new features, like the ability to detect pets, and releaseda security-oriented version for businesses, the company hasn't said much else about the robot's future.
Smaller companies, without Amazon's and Apple's broad influence and deep resources, have also attempted to popularize home robots, to no avail. TakeJibo, a 2017-era robot that emerged just as voice-enabled smart speakers like the Amazon Echo and Google Home were picking up steam.
The creators behind Jibo tried to distinguish the bot by giving it an adorable personality, but its functionality was ultimately too limited compared with other home assistants. And at $899, Jibo was much pricier than most smart speakers -- many of which supported a lot more features and integrations.
The Jibo home robot.
Smart toy maker Anki made headlines in 2013 afterappearingin the keynote presentation at Apple's Worldwide Developers Conference. The company impressed with its adorable, Pixar-likeCozmo robot STEM toyback in 2016, but the operationclosed its doorsin 2019 after a financial deal fell through, according to a Voxreportat the time.
Kuri, a similarly charismatic home companion, from a company called Mayfield Robotics, is another example of a digital helper that met an untimely end.
The Anki Cozmo robotic toy.
Taken together, the downfalls of Jibo, Anki and Kuri are cautionary tales that underscore the challenges companies face when bringing robotics into the home. While these robots felt fun, innovative and impressive in certain ways, they weren't practical enough to justify their high costs.
Apple also hasn't established as large a presence in the home as some of its rivals, which could make it difficult to commercialize a new product category in that area. Amazon's original Echo became a surprise hitfollowing its unveiling in late 2014, helping to create a new market for internet-connected speakers.
Now, almost a decade later, Amazon still holds the lead, with more than 45% of US smart speaker shipments in 2023, according to figures provided to CNET by the International Data Corporation. Apple by comparison places third, after Google.
Though developing a smart and capable robot at the right price remains a challenge, Apple does have some elements working in its favor. For one, judging from Bloomberg's report it sounds like Apple may already have some of the technology for a home robot in place, from its scrapped car project.
FaceTimeis also among the most well-known video calling apps, which could make an Apple personal robot more appealing. That's especially true for the potential tabletop robot mentioned in Bloomberg's report, which sounds like it would be designed for more-immersive FaceTime interactions. Apple also has a better reputation than many tech companies when it comes to personal privacy, a factor that could make customers feel more comfortable with a robotic presence in the home.
It's important to remember, too, that technology has come a long way since Jibo's, Anki's and Kuri's short-lived time in the spotlight. Advancements inartificial intelligence, particularly generative AI, could make new home robots much more capable and clever, possibly helping them carry out more-natural conversations and perform tasks on our behalf more efficiently.
There's been a lot of speculation about Apple chasing its next iPhone moment with new products like theVision Proheadset. The robot, according to Bloomberg, would likely be another such attempt.
But asI wrote last year, don't expect Apple's next iPhone moment to look like the original iPhone moment in 2007. The world is simply too different now, and Apple's biggest hits in recent years have felt more like slow burns than overnight successes. Just look at the way the Apple Watch helped popularize health and fitness tracking, and how AirPods changed the headphone industry. Those products had a gradual impact on how we use technology.
If Apple does develop a home robot, I imagine the company will position the product in a way that's similar to how it's touting the Vision Pro: by calling it a new type of computer. Perhaps one that combines the best aspects of your iPad, Mac, Apple Watch and iPhone and can move all by itself."
